LABORATORIO,PROVEEDOR,CUM,DESCRIPCION,PRECIO,CUM2,IVA,PRINCIPIO ACTIVO,REGULADOS,reg invima
LAFRACOL,LAFRACOL,0,"STANIA 11/3,474mg ANILLO VAGINAL",67325,,,ETONOGESTREL 11mg; ETINILESTRADIOL 3.474mg,#N/D,
LAFRACOL,LAFRACOL,0,SUAXINA 85/500 x4 TAB-ENT,9906,,,SUMATRIPTAN 85 mg; NAPROXENO 500 mg,#N/D,
LAFRACOL,LAFRACOL,0,SUPLASYN 60mg ONE SHOT x1 AMP–DM,356937,,,N/A DISPOSITIVO MEDICO,#N/D,
LAFRACOL,LAFRACOL,0,TINOX 2.5 mg x 30 TAB-ENT,999,,,TIBOLONA 2.5 mg,#N/D,
LAFRACOL,LAFRACOL,0,TRETINEX 10 mg x 30 CAP-ENT,1796,,,ISOTRETINOINA 10 mg,#N/D,
LAFRACOL,LAFRACOL,0,TRETINEX 20 mg x 30 CAP-ENT,2112,,,ISOTRETINOINA 20 mg,#N/D,
LAFRACOL,LAFRACOL,0,TRIFOLIOM 40 mg x 50 CAP-ENT,1321,,,EXT RED CLOVER 4% EQV. ISOFLAVONAS 40 mg,#N/D,
LAFRACOL,LAFRACOL,0,TROMIX 500 mg x 3 TAB-ENT,21442,,,AZITROMICINA DIH EQV. 500mg AZITROMICINA,#N/D,
LAFRACOL,LAFRACOL,0,TROMIX 500 mg x 6 TAB,15755,,,AZITROMICINA DIH EQV. 500mg AZITROMICINA,#N/D,
LAFRACOL,LAFRACOL,0,UROMAX 1000mg/4mL x1 AMP-ENT,162019,,,TESTOSTERONA UNDECANOATO 1000mg,#N/D,
LAFRACOL,LAFRACOL,0,VAGICORT CREMA x 20g-ENT,73886,,,"TERCONAZOL MICRONIZADO 0,8 g; DEXAMETASONA 3.58 mg",#N/D,
LAFRACOL,LAFRACOL,0,VALNOC 2mg x 15 TAB-ENT,1197,,,"ESZOPICLONA 2,00 mg",#N/D,
