proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct
DISFARMA,GIRON,IPCA,20132472-19,BISOPROLOL FUMARATO 10MG TAB CX30 (ZOPROLOL) - IPCA,13140,BISOPROLOL FUMARATO,42078.0,Circular 19 de 2024,0.3122771994866676,-28938.0,-68.77228005133324
DISFARMA,BOGOTA,IPCA,20132473-19,TELMISARTAN 40MG C*30 TAB (TEMIFORCE) - IPCA,5400,TELMISARTAN,15648.0,Circular 19 de 2024,0.3450920245398773,-10248.0,-65.49079754601227
DISFARMA,CALI,IPCA,20132473-19,TELMISARTAN 40MG C*30 TAB (TEMIFORCE) - IPCA,5400,TELMISARTAN,15648.0,Circular 19 de 2024,0.3450920245398773,-10248.0,-65.49079754601227
DISFARMA,GIRON,IPCA,20132473-19,TELMISARTAN 40MG C*30 TAB (TEMIFORCE) - IPCA,5400,TELMISARTAN,15648.0,Circular 19 de 2024,0.3450920245398773,-10248.0,-65.49079754601227
DISFARMA,BOGOTA,LEGRAND,20133285-03,CINACALCET 60MG C*30 TAB (TYROCET) - LEGRAND,505500,CINACALCET,1294038.0,Circular 19 de 2024,0.3906376783371122,-788538.0,-60.93623216628878
DISFARMA,GIRON,LEGRAND,20133285-03,CINACALCET 60MG C*30 TAB (TYROCET) - LEGRAND,505500,CINACALCET,1294038.0,Circular 19 de 2024,0.3906376783371122,-788538.0,-60.93623216628878
DISFARMA,GIRON,LEGRAND,20135023-04,EXEMESTANO 25MG C*30 TAB (EXTANO) - LEGRAND,86400,EXEMESTANO,216337.5,Circular 19 de 2024,0.3993759750390016,-129937.5,-60.06240249609984
DISFARMA,BOGOTA,ZAMBON,20136519-02,SAFINAMIDA 100MG TAB CX30 (XADAGO) - ZAMBON,437850,SAFINAMIDA,437970.0,Circular 19 de 2024,0.9997260086307281,-120.0,-0.027399136927186794
DISFARMA,CALI,ZAMBON,20136519-02,SAFINAMIDA 100MG TAB CX30 (XADAGO) - ZAMBON,437850,SAFINAMIDA,437970.0,Circular 19 de 2024,0.9997260086307281,-120.0,-0.027399136927186794
DISFARMA,GIRON,ZAMBON,20136519-02,SAFINAMIDA 100MG TAB CX30 (XADAGO) - ZAMBON,437850,SAFINAMIDA,437970.0,Circular 19 de 2024,0.9997260086307281,-120.0,-0.027399136927186794
DISFARMA,BOGOTA,EUROFARMA,20137607-05,DESVENLAFAXINA 100MG TAB LIB PRO CX30 (DESVE) - EUROFARMA,60750,DESVENLAFAXINA,89760.0,Circular 19 de 2024,0.6768048128342246,-29010.0,-32.31951871657754
DISFARMA,CALI,EUROFARMA,20137607-05,DESVENLAFAXINA 100MG TAB LIB PRO CX30 (DESVE) - EUROFARMA,60750,DESVENLAFAXINA,89760.0,Circular 19 de 2024,0.6768048128342246,-29010.0,-32.31951871657754
