cum,precio_maximo_venta
20065188-1,410490.0
20070220-1,136830.0
20149298-1,13683.0
20135022-4,45610.0
20135022-2,63854.0
20135022-5,63854.0
20135022-3,127708.0
20135022-6,136830.0
20135022-1,45610.0
20028083-1,136830.0
20028083-4,1368300.0
20028083-2,410490.0
20028083-3,820980.0
20028605-1,45610.0
20028605-4,456100.0
20028605-2,136830.0
20028605-3,273660.0
20026719-1,410490.0
19989730-2,9122.0
20042363-1,136830.0
20026716-1,136830.0
20023870-1,136830.0
20023870-2,136830.0
19989730-1,136830.0
20033272-1,63854.0
20033272-2,127708.0
20033272-3,136830.0
19908644-4,191562.0
19908644-1,383124.0
19908644-2,383124.0
19908644-3,383124.0
201198-1,127708.0
201198-2,127708.0
201198-3,127708.0
201198-4,127708.0
201198-5,127708.0
20058069-1,410490.0
20058066-1,136830.0
20188481-1,191562.0
20188481-4,191562.0
20188481-2,383124.0
20188481-5,383124.0
20188481-3,95781.0
229986-8,4561.0
20188519-2,63854.0
20188519-5,63854.0
20188519-3,127708.0
20188519-1,31927.0
20188519-4,31927.0
19916203-12,136830.0
19916203-2,136830.0
19916203-23,136830.0
19916203-6,136830.0
19916203-17,191562.0
19916203-24,191562.0
19916203-3,191562.0
19916203-31,191562.0
19916203-9,191562.0
19916203-7,205245.0
19916203-13,273660.0
19916203-25,273660.0
19916203-10,287343.0
19916203-11,383124.0
19916203-18,383124.0
19916203-26,383124.0
19916203-32,383124.0
19916203-14,410490.0
19916203-27,410490.0
19916203-15,547320.0
19916203-19,574686.0
19916203-28,574686.0
19916203-1,68415.0
19916203-5,68415.0
19916203-16,684150.0
19916203-20,766248.0
19916203-29,875712.0
19916203-22,95781.0
19916203-30,95781.0
19916203-4,95781.0
19916203-8,95781.0
19916203-21,957810.0
229986-1,45610.0
229986-2,63854.0
229986-7,63854.0
229986-3,127708.0
229986-4,136830.0
229986-5,31927.0
229986-6,31927.0
20060914-1,383124.0
20060914-2,383124.0
20060913-1,127708.0
20060913-4,127708.0
20030167-5,9730.0
20030167-3,1946.0
20172610-5,4865.0
20172610-4,973.0
20172610-2,9730.0
20172610-3,14595.0
20172610-1,4865.0
20030167-1,9730.0
20030167-2,19460.0
20030167-4,29190.0
20101013-3,27170.42
20101013-1,27170.42
20101013-2,27170.42
20091794-1,81511.25
20091794-2,81511.25
20091794-3,81511.25
20036365-1,67926.04
20036365-2,135852.08
20142049-1,135852.08
19923968-1,40755.62
19923968-10,40755.62
19923968-11,40755.62
19923968-8,40755.62
19923968-2,65209.0
19923968-3,67926.04
19923968-4,81511.25
19923968-7,81511.25
19923968-9,81511.25
19923968-6,135852.08
19923968-5,203778.11
20009282-2,13585.21
20009282-1,27170.42
20079123-2,326044.98
20079123-1,54340.83
20079123-4,108681.66
20079123-3,326044.98
20075085-1,81511.25
20075085-2,81511.25
19956593-1,42078.0
19956592-1,10519.5
20103365-17,1753.25
20103365-3,1753.25
20103365-22,17532.5
20103365-4,2454.55
20103365-14,350.65
20103365-5,3506.5
20103365-23,35065.0
20103365-24,43831.25
20103365-6,4909.1
20103365-18,5259.75
20103365-19,5259.75
20103365-20,5259.75
20103365-21,5259.75
20103365-7,5259.75
20094218-1,5259.75
20094218-2,5259.75
20094218-3,5259.75
20103365-25,52597.5
