cum,precio_maximo_venta,circular_origen
20008399-02,182340.0,Circular 19 de 2024
20008399-04,30390.0,Circular 19 de 2024
20060326-01,170184.0,Circular 19 de 2024
20092750-01,182340.0,Circular 19 de 2024
20057635-01,170184.0,Circular 19 de 2024
20135463-05,85092.0,Circular 19 de 2024
20135463-02,170184.0,Circular 19 de 2024
20135463-03,182340.0,Circular 19 de 2024
20135463-04,42546.0,Circular 19 de 2024
20135463-01,85092.0,Circular 19 de 2024
19910957-01,85092.0,Circular 19 de 2024
19910957-06,85092.0,Circular 19 de 2024
19910957-02,91170.0,Circular 19 de 2024
19910957-03,170184.0,Circular 19 de 2024
19910957-07,170184.0,Circular 19 de 2024
19910957-04,182340.0,Circular 19 de 2024
19910957-05,42546.0,Circular 19 de 2024
20049640-01,589574.0,Circular 19 de 2024
20049640-15,589574.0,Circular 19 de 2024
20049640-16,589574.0,Circular 19 de 2024
20049640-02,589574.0,Circular 19 de 2024
20049640-03,589574.0,Circular 19 de 2024
20049640-04,589574.0,Circular 19 de 2024
20049640-10,5895740.0,Circular 19 de 2024
20049640-11,5895740.0,Circular 19 de 2024
20049640-12,5895740.0,Circular 19 de 2024
20049640-13,5895740.0,Circular 19 de 2024
20049640-14,5895740.0,Circular 19 de 2024
20049640-17,5895740.0,Circular 19 de 2024
20049640-18,5895740.0,Circular 19 de 2024
20049640-05,5895740.0,Circular 19 de 2024
20049640-06,5895740.0,Circular 19 de 2024
20049640-07,5895740.0,Circular 19 de 2024
20049640-08,5895740.0,Circular 19 de 2024
20049640-09,5895740.0,Circular 19 de 2024
20060249-01,589574.0,Circular 19 de 2024
20060249-02,589574.0,Circular 19 de 2024
20087555-01,589574.0,Circular 19 de 2024
20011488-01,1179148.0,Circular 19 de 2024
20011486-01,589574.0,Circular 19 de 2024
20081871-01,1179148.0,Circular 19 de 2024
20009425-01,589574.0,Circular 19 de 2024
20081868-01,589574.0,Circular 19 de 2024
20009425-04,5895740.0,Circular 19 de 2024
20009425-02,2947870.0,Circular 19 de 2024
20009425-03,4127018.0,Circular 19 de 2024
19993884-01,589574.0,Circular 19 de 2024
19993884-04,5895740.0,Circular 19 de 2024
19993884-05,11791480.0,Circular 19 de 2024
19993884-02,2358296.0,Circular 19 de 2024
19993884-06,29478700.0,Circular 19 de 2024
19993884-03,4716592.0,Circular 19 de 2024
20018847-01,589574.0,Circular 19 de 2024
20008546-01,589574.0,Circular 19 de 2024
20002231-01,589574.0,Circular 19 de 2024
20002231-04,5895740.0,Circular 19 de 2024
20002231-06,58957400.0,Circular 19 de 2024
20002231-02,2947870.0,Circular 19 de 2024
20002231-05,29478700.0,Circular 19 de 2024
33807-01,589574.0,Circular 19 de 2024
20081740-01,589574.0,Circular 19 de 2024
20147506-01,589574.0,Circular 19 de 2024
20192678-01,482788.0,Circular 19 de 2024
19981452-01,482788.0,Circular 19 de 2024
19981452-02,482788.0,Circular 19 de 2024
19981452-05,482788.0,Circular 19 de 2024
19981452-09,482788.0,Circular 19 de 2024
19981452-04,4827880.0,Circular 19 de 2024
19981452-07,4827880.0,Circular 19 de 2024
19981452-03,2413940.0,Circular 19 de 2024
19981452-06,2413940.0,Circular 19 de 2024
19981452-12,482788.0,Circular 19 de 2024
19981452-08,482788.0,Circular 19 de 2024
19981452-11,4827880.0,Circular 19 de 2024
19981452-14,4827880.0,Circular 19 de 2024
19981452-10,2413940.0,Circular 19 de 2024
19981452-13,2413940.0,Circular 19 de 2024
20188746-01,482788.0,Circular 19 de 2024
20103221-01,17414.85,Circular 19 de 2024
20063439-02,174148.5,Circular 19 de 2024
20063439-03,348297.0,Circular 19 de 2024
20063439-04,522445.5,Circular 19 de 2024
20063439-01,17414.85,Circular 19 de 2024
20063439-05,17414.85,Circular 19 de 2024
20103221-09,17414.85,Circular 19 de 2024
20103221-08,104489.1,Circular 19 de 2024
20080147-05,104489.1,Circular 19 de 2024
20080147-13,139318.8,Circular 19 de 2024
20080147-06,139318.8,Circular 19 de 2024
20103221-02,17414.85,Circular 19 de 2024
20080147-01,17414.85,Circular 19 de 2024
20080147-02,17414.85,Circular 19 de 2024
20080147-09,17414.85,Circular 19 de 2024
20080147-14,174148.5,Circular 19 de 2024
20080147-07,174148.5,Circular 19 de 2024
20080147-15,208978.2,Circular 19 de 2024
20080147-08,208978.2,Circular 19 de 2024
20103221-03,26122.28,Circular 19 de 2024
20103221-04,34829.7,Circular 19 de 2024
20080147-10,34829.7,Circular 19 de 2024
20080147-03,34829.7,Circular 19 de 2024
20103221-05,52244.55,Circular 19 de 2024
20080147-16,52244.55,Circular 19 de 2024
20080147-17,52244.55,Circular 19 de 2024
20103221-06,69659.4,Circular 19 de 2024
20080147-11,69659.4,Circular 19 de 2024
20080147-04,69659.4,Circular 19 de 2024
20104469-01,17414.85,Circular 19 de 2024
20104469-10,17414.85,Circular 19 de 2024
20104469-18,17414.85,Circular 19 de 2024
20104469-02,17414.85,Circular 19 de 2024
20104469-27,17414.85,Circular 19 de 2024
20104469-16,174148.5,Circular 19 de 2024
