proveedor,laboratorio,cum,descripcion,precio,iva,principio_activo
LAFRACOL,LAFRACOL,,PRIVATOS JARABE x 120 mL-ENT,22451.0,,EXT. DE HOJAS DE HEDERÁ HÉLIX; EXTRACTO SECO DE PROPOLEO 0.1 g
LAFRACOL,LAFRACOL,,PROGENDO 100 mg x 30 CAP-ENT,3161.0,,PROGESTERONA MICRONIZADA 100 mg
LAFRACOL,LAFRACOL,,PROGENDO 200 mg x 20 CAP-ENT,5620.0,,PROGESTERONA MICRONIZADA 200 mg
LAFRACOL,LAFRACOL,,RIFAX 200mg x 12 TAB-ENT,1680.0,,RIFAXIMINA 200 mg
LAFRACOL,LAFRACOL,,RIFAX 550 mg x 14 TAB-ENT,3710.0,,RIFAXIMINA 550 mg
LAFRACOL,LAFRACOL,,RIFAX 550mg x28 TAB-ENT,3710.0,,RIFAXIMINA 550 mg
LAFRACOL,LAFRACOL,,SAMEXID 30mg x30 CAP-ENT,5844.0,,LISDEXAMFETAMINA DIMESILATO 30 mg
LAFRACOL,LAFRACOL,,SAMEXID 50mg x30 CAP-ENT,9451.0,,LISDEXAMFETAMINA DIMESILATO 50 mg
LAFRACOL,LAFRACOL,,SAMEXID 70mg x30 CAP-ENT,392820.0,,LISDEXAMFETAMINA DIMESILATO 70 mg
LAFRACOL,LAFRACOL,,SEMAZIN FORTE x1 OV,59301.0,,SERTACONAZOL 500mg
LAFRACOL,LAFRACOL,,SET SINOIMPLANT IMPSUBDER75MGx2+INSU-ENT,96900.0,,LEVONORGESTREL 75 mg/CADA IP
LAFRACOL,LAFRACOL,,SEVEDOL EXTRAFUERTE x 60 TAB,1546.0,,ACETAMINOFEN 250 mg; IBUPROFENO 400 mg; CAFEINA 65 mg
LAFRACOL,LAFRACOL,,SEVEDOL x 60 TAB,1192.0,,ACETAMINOFEN 250 mg; ACIDO ACETILSALICILICO 250 mg; CAFEINA 65 mg
LAFRACOL,LAFRACOL,,SINOVUL 50 BLIS x 21 TAB-USO,3200.0,,LEVONORGESTREL 0.15 mg; ETINILESTRADIOL 0.03 mg
LAFRACOL,LAFRACOL,,SMECTA 3 g x 10 SOB-ENT,5300.0,,DIOSMECTITA 3 g
LAFRACOL,LAFRACOL,,STAFEN 135/10 mg x 30 CAP-ENT,6920.0,,ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg; FENOFIBR. COLINA EQ. AC. FENOFIB. 135 mg
LAFRACOL,LAFRACOL,,STAFEN 135/20 mg x 30 CAP-ENT,6922.0,,FENOFIBR. COLINA EQ. AC. FENOFIB. 135 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg
LAFRACOL,LAFRACOL,,STAFEN 135/5 mg x 30 CAP-ENT,6933.0,,FENOFIBR. COLINA EQ. AC. FENOFIB. 135 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 5 mg
