proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct,motivo
DISFARMA,BOGOTA,AUROBINDO,19984522-02,NEVIRAPINA 50MG/5ML SUSP ORL FCOX240ML - AUROBINDO,51353,NEVIRAPINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,AUROBINDO,19984522-02,NEVIRAPINA 50MG/5ML SUSP ORL FCOX240ML - AUROBINDO,51353,NEVIRAPINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,AUROBINDO,19984522-02,NEVIRAPINA 50MG/5ML SUSP ORL FCOX240ML - AUROBINDO,51353,NEVIRAPINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,TECNOQUIMICAS,19984620-03,ACETATO DE PREDNISOLONA+FENILEFRINA (10MG+1.2MG)/ML (1%+0.12%) SUSP OFT GTS FCOX5ML CX10 (CORTIOFTAL F) - TECNOQUIMICAS,230000,ACETATO DE PREDNISOLONA+FENILEFRINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,TECNOQUIMICAS,19984620-03,ACETATO DE PREDNISOLONA+FENILEFRINA (10MG+1.2MG)/ML (1%+0.12%) SUSP OFT GTS FCOX5ML CX10 (CORTIOFTAL F) - TECNOQUIMICAS,230000,ACETATO DE PREDNISOLONA+FENILEFRINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,TECNOQUIMICAS,19984620-03,ACETATO DE PREDNISOLONA+FENILEFRINA (10MG+1.2MG)/ML (1%+0.12%) SUSP OFT GTS FCOX5ML CX10 (CORTIOFTAL F) - TECNOQUIMICAS,230000,ACETATO DE PREDNISOLONA+FENILEFRINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,MEGALABS,19984722-05,ARIPIPRAZOL 15MG TAB CX30 (ILIMIT) - MEGALABS,16950,ARIPIPRAZOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,MEGALABS,19984722-05,ARIPIPRAZOL 15MG TAB CX30 (ILIMIT) - MEGALABS,16950,ARIPIPRAZOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,CHALVER,19984776-09,DESLORATADINA+FENILEFRINA+IBUPROFENO 2.5MG+10MG+400MG CAP CX10 (FLUTURAN) - CHALVER,36820,DESLORATADINA+FENILEFRINA+IBUPROFENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,CIPLA,19984840-07,ONDANSETRON 8MG TAB CX10 (ONCOEMET) - CIPLA,4470,ONDANSETRON,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,CIPLA,19984840-07,ONDANSETRON 8MG TAB CX10 (ONCOEMET) - CIPLA,4470,ONDANSETRON,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,CIPLA,19984840-07,ONDANSETRON 8MG TAB CX10 (ONCOEMET) - CIPLA,4470,ONDANSETRON,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,EXELTIS,19985092-04,METRONIDAZOL+MICONAZOL 750MG+200MG OVUL VAG CX7 (GYNOTRAN) - EXELTIS,51800,METRONIDAZOL+MICONAZOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,EXELTIS,19985092-04,METRONIDAZOL+MICONAZOL 750MG+200MG OVUL VAG CX7 (GYNOTRAN) - EXELTIS,51800,METRONIDAZOL+MICONAZOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,BLASKOV,19985549-01,DEXAMETASONA+LIDOCAINA (0.1G+2G)/100G CREM RECT TUBX10G+CAN CX1 (TOR CREMA PROCTOLOGICA) - BLASKOV,8300,DEXAMETASONA+LIDOCAINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,BLASKOV,19985549-01,DEXAMETASONA+LIDOCAINA (0.1G+2G)/100G CREM RECT TUBX10G+CAN CX1 (TOR CREMA PROCTOLOGICA) - BLASKOV,8300,DEXAMETASONA+LIDOCAINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,BLASKOV,19985549-01,DEXAMETASONA+LIDOCAINA (0.1G+2G)/100G CREM RECT TUBX10G+CAN CX1 (TOR CREMA PROCTOLOGICA) - BLASKOV,8300,DEXAMETASONA+LIDOCAINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,BUSSIE,19985876-02,NITROFURANTOINA 100MG TAB CX40 - BUSSIE,7280,NITROFURANTOINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,BUSSIE,19985876-02,NITROFURANTOINA 100MG TAB CX40 - BUSSIE,7280,NITROFURANTOINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,BUSSIE,19985876-02,NITROFURANTOINA 100MG TAB CX40 - BUSSIE,7280,NITROFURANTOINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,PROCTER & GAMBLE,19986087-01,LIDOCAINA 5.5MG/ML SOL BUC FCOX10ML CX1 (NENE-DENT) - PROCTER & GAMBLE,32000,LIDOCAINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,LABINCO,19986585-02,NAPROXENO 150MG/5ML SUSP ORL FCO*80ML (NAPROX 3%) - LABINCO,3630,NAPROXENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,LABINCO,19986585-02,NAPROXENO 150MG/5ML SUSP ORL FCO*80ML (NAPROX 3%) - LABINCO,3630,NAPROXENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,LABINCO,19986585-02,NAPROXENO 150MG/5ML SUSP ORL FCO*80ML (NAPROX 3%) - LABINCO,3630,NAPROXENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,LEGRAND,19986730-01,CEFADROXILO 1G TAB LIB PRO CX5 (NOVADROX OD) - LEGRAND,66000,CEFADROXILO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,LEGRAND,19986730-01,CEFADROXILO 1G TAB LIB PRO CX5 (NOVADROX OD) - LEGRAND,66000,CEFADROXILO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,BEST,19986776-04,IBUPROFENO+TIZANIDINA 200MG+2MG C*20 TAB (MYOS-NOR F) - BEST,23120,IBUPROFENO+TIZANIDINA,,,,,,SIN_REGULACION_EN_BD
