laboratorio,proveedor,cum,descripcion,precio,iva_pct,principio_activo
EUROFARMA,PHARMAPLUS,20145875-01,ETOX 120 MG CAJA,9205.0,0.0,ETORICOXIB
SOPHIA LABORATORIO,PHARMAPLUS,20122426-01,SOPHIXIN DX OFTENO,77389.0,0.0,"DEXAMETASONA 0,1% CIPROFLOXAXINO 0,3%"
SEVEN PHARMA,PHARMAPLUS,20088762-01,ESCITROLAM ECITALOPRAM 20 MG CAJA,4096.0,0.0,OALATO DE ESCITALOPRAM 25.55MG EQUIVALENTE A ESCITALOPRAM
TECNOQUIMICAS MK,PHARMAPLUS,19928497-03,SERTRALINA MK 50MG CAJA,3459.0,0.0,SERTRALINA 50 MG TABLETA RECUBIERTA
MERCK S.A,PHARMAPLUS,19908844-01,"CETROTIDE 0,25MG VIAL JERINGA PRELLENADA",194741.0,0.0,CETRORELIX ACETATO EQUIVALENTE A CETRORELIX
LAFRANCOL,PHARMAPLUS,20110972-01,BEMERIN FRASCO,126888.0,0.0,ACIDO SALICILICO
NOVAMED,PHARMAPLUS,20084847-02,ETORIMED 60 MG CAJA,5229.0,0.0,ETORICOIB
NOVAMED,PHARMAPLUS,20084843-02,ETORIMED 90 MG CAJA,6008.0,0.0,ETORICOIB
NOVONORDISK,PHARMAPLUS,20090556-01,XULTOPHY CAJA,173268.0,0.0,INSULINA DEGLUDEC
SEVEN PHARMA,PHARMAPLUS,20064176-01,TRUSTIVA CAJA,2683.0,0.0,EFAVIRENZ
SEVEN PHARMA,PHARMAPLUS,20064440-01,IMATERO 400 MG FRASCO,13418.0,0.0,IMATINIB
SEVEN PHARMA,PHARMAPLUS,20106196-02,CELICOB 200 MG CAJA,1228.0,0.0,CELECOXIB
OPHTHA,PHARMAPLUS,20106373-02,FREEGEN PF,49000.0,0.0,CARBOXIMETILCELULOSA SODICA
MEGA LIFESCIENCES COLOMBIA S.A.S.,PHARMAPLUS,20105457-01,ENAT 400 UI,777.0,0.0,INFLIIMAB
NOVONORDISK,PHARMAPLUS,20094683-01,SAXENDA 6 MG/ML CAJA,156587.0,0.0,LIRAGLUTIDA
LAFRANCOL,PHARMAPLUS,20086917-03,DOXU 5/250 MG,4133.0,0.0,HIDROCODONA BITARTRATO DISESQUHIDRATO
PROCAPS FARMA OTC,PHARMAPLUS,20059777-03,DICLOFEN SPRAY,41085.0,0.0,DICLOFENACO SPRAY
NOVAMED,PHARMAPLUS,20120491-01,ETORIMED 120 MG CAJA,7502.0,0.0,ETORICOIB
OPHTHA,PHARMAPLUS,20106373-03,FREEGEN PF,64000.0,0.0,CARBOXIMETILCELULOSA SODICA
SEVEN PHARMA,PHARMAPLUS,20089806-02,OLMEDOXTAN 40 MG CAJA,1242.0,0.0,OLMESARTAN MEDOXOMIL
SIEGFRIED FARMA,PHARMAPLUS,54856-02,MIGRAGESIN GOTAS,89595.0,0.0,SUMATRIPTAN SUCCINATO 112 MG EQUIVALENTE A SUMATRIPTAN BASE
ALCON LABORATORIOS,PHARMAPLUS,20104024-01,SYSTANE HA LUB EYE DPS,54286.0,0.0,"HIALURONATO DE SODIO 1,5 MG"
SEVEN PHARMA,PHARMAPLUS,20089803-02,OLMEDOXTAN 20 MG CAJA,621.0,0.0,OLMESARTAN MEDOXOMIL
SEVEN PHARMA,PHARMAPLUS,20072620-01,LINDEZIP 5 MG CAJA,2016.0,0.0,DONEPEZIL CLORHIDRATO
SEVEN PHARMA,PHARMAPLUS,20072619-01,LINDEZIP 10 MG CAJA,3831.0,0.0,DONEPEZIL CLORHIDRATO
TECNOQUIMICAS VISION,PHARMAPLUS,19967897-01,WASSERTROL UNG¿NTO,27533.0,0.0,DEXAMETASONA BASE
LAFRANCOL,PHARMAPLUS,20157741-06,NEDO 20 MG CAJA,6327.0,0.0,ESOMEPRAZOL PELLETS 8.5% (EQUIVALENTE A ESOMEPRAZOL 20 MG)
MEGALABS FARMA,PHARMAPLUS,20100049-01,PREDNISOLIN 3 SOLUCION ORAL,87772.0,0.0,PREDNISOLONA FOSFATO SODICO EQUIVALENTE A PREDNISOLONA
NOVAMED,PHARMAPLUS,20036053-07,PEPRED SOLUCION,67532.0,0.0,PREDNISOLONA SODIO FOSFATO 134MG EQUIVALENTE A PREDNISOLONA
FAES FARMA COLOMBIA S.A.S.,PHARMAPLUS,20030167-04,BILAXTEN 20 MG,972.0,0.0,BILASTINA
PROCAPS FARMA RX,PHARMAPLUS,20134577-02,BRIMODOR SOLUCION OFTALMICA,70802.0,0.0,BRIMONIDINA TARTRATO
PROCAPS FARMA RX,PHARMAPLUS,20001289-10,MUVETT FLORA,5755.0,0.0,TRIMEBUTINA BASE
EXELTIS,PHARMAPLUS,20077138-01,"DROSPERA 3MG + 0,030 MG CJA X 28",843.0,0.0,DROSPIRENONA
