cum,precio_maximo_venta,circular_origen
19993858-2,,Circular 19 de 2023
19993858-4,,Circular 19 de 2023
19993858-3,,Circular 19 de 2023
19993858-5,,Circular 19 de 2023
19991804-1,,Circular 19 de 2023
19991805-1,,Circular 19 de 2023
19991805-4,,Circular 19 de 2023
19991805-6,,Circular 19 de 2023
19991805-3,,Circular 19 de 2023
19991805-5,,Circular 19 de 2023
19991805-2,,Circular 19 de 2023
19988981-1,,Circular 19 de 2023
19988981-2,,Circular 19 de 2023
19988981-3,,Circular 19 de 2023
19988981-4,,Circular 19 de 2023
19988981-5,,Circular 19 de 2023
19988981-6,,Circular 19 de 2023
19988981-10,,Circular 19 de 2023
19988981-7,,Circular 19 de 2023
19988981-8,,Circular 19 de 2023
19988981-9,,Circular 19 de 2023
19988982-1,,Circular 19 de 2023
19988982-5,,Circular 19 de 2023
19988982-2,,Circular 19 de 2023
19988982-6,,Circular 19 de 2023
19988982-3,,Circular 19 de 2023
19988982-7,,Circular 19 de 2023
19988982-4,,Circular 19 de 2023
19988982-8,,Circular 19 de 2023
19994222-2,,Circular 19 de 2023
19994222-1,,Circular 19 de 2023
19994222-3,,Circular 19 de 2023
19994222-4,,Circular 19 de 2023
19994218-2,,Circular 19 de 2023
19994218-1,,Circular 19 de 2023
19994218-3,,Circular 19 de 2023
19994218-4,,Circular 19 de 2023
19987360-2,,Circular 19 de 2023
19987360-1,,Circular 19 de 2023
19987360-3,,Circular 19 de 2023
19987360-4,,Circular 19 de 2023
19994223-2,,Circular 19 de 2023
19994223-1,,Circular 19 de 2023
19994223-3,,Circular 19 de 2023
19994223-4,,Circular 19 de 2023
20138927-10,,Circular 19 de 2023
20138927-15,,Circular 19 de 2023
20138927-2,,Circular 19 de 2023
20138927-20,,Circular 19 de 2023
20138927-6,,Circular 19 de 2023
20138927-11,,Circular 19 de 2023
20138927-14,,Circular 19 de 2023
20138927-21,,Circular 19 de 2023
20138927-3,,Circular 19 de 2023
20138927-7,,Circular 19 de 2023
20138927-13,,Circular 19 de 2023
20138927-16,,Circular 19 de 2023
20138927-18,,Circular 19 de 2023
20138927-4,,Circular 19 de 2023
20138927-8,,Circular 19 de 2023
20138927-17,,Circular 19 de 2023
20138927-19,,Circular 19 de 2023
20138927-5,,Circular 19 de 2023
20138927-9,,Circular 19 de 2023
20138927-22,,Circular 19 de 2023
20138927-23,,Circular 19 de 2023
20138927-1,,Circular 19 de 2023
20150034-2,,Circular 19 de 2023
20150034-6,,Circular 19 de 2023
20150034-3,,Circular 19 de 2023
20150034-7,,Circular 19 de 2023
20150034-4,,Circular 19 de 2023
20150034-8,,Circular 19 de 2023
20150034-5,,Circular 19 de 2023
20150034-1,,Circular 19 de 2023
20071588-16,,Circular 19 de 2023
20071588-3,,Circular 19 de 2023
20071588-12,,Circular 19 de 2023
20071588-2,,Circular 19 de 2023
20071588-17,,Circular 19 de 2023
20071588-14,,Circular 19 de 2023
20071588-4,,Circular 19 de 2023
20071588-13,,Circular 19 de 2023
20071588-5,,Circular 19 de 2023
20071588-6,,Circular 19 de 2023
20071588-7,,Circular 19 de 2023
20071588-8,,Circular 19 de 2023
20071588-1,,Circular 19 de 2023
20071588-15,,Circular 19 de 2023
20071588-9,,Circular 19 de 2023
20071588-10,,Circular 19 de 2023
20071588-11,,Circular 19 de 2023
20041642-9,,Circular 19 de 2023
20041642-16,,Circular 19 de 2023
20041642-2,,Circular 19 de 2023
20041642-12,,Circular 19 de 2023
20041642-3,,Circular 19 de 2023
20041642-14,,Circular 19 de 2023
20041642-4,,Circular 19 de 2023
20041642-13,,Circular 19 de 2023
20041642-5,,Circular 19 de 2023
20041642-6,,Circular 19 de 2023
20041642-7,,Circular 19 de 2023
20041642-8,,Circular 19 de 2023
20041642-1,,Circular 19 de 2023
20041642-15,,Circular 19 de 2023
20041642-10,,Circular 19 de 2023
20041642-11,,Circular 19 de 2023
20042532-16,,Circular 19 de 2023
20042532-2,,Circular 19 de 2023
20042532-12,,Circular 19 de 2023
20042532-3,,Circular 19 de 2023
20042532-14,,Circular 19 de 2023
20042532-4,,Circular 19 de 2023
20042532-13,,Circular 19 de 2023
20042532-5,,Circular 19 de 2023
20042532-6,,Circular 19 de 2023
20042532-7,,Circular 19 de 2023
20042532-8,,Circular 19 de 2023
20042532-1,,Circular 19 de 2023
20042532-15,,Circular 19 de 2023
20042532-9,,Circular 19 de 2023
20042532-10,,Circular 19 de 2023
20042532-11,,Circular 19 de 2023
20178194-2,,Circular 19 de 2023
20178194-1,,Circular 19 de 2023
19986771-6,,Circular 19 de 2023
19986771-3,,Circular 19 de 2023
19986771-7,,Circular 19 de 2023
19986771-4,,Circular 19 de 2023
19986771-5,,Circular 19 de 2023
19986771-8,,Circular 19 de 2023
19986771-1,,Circular 19 de 2023
19986771-2,,Circular 19 de 2023
19986772-6,,Circular 19 de 2023
19986772-3,,Circular 19 de 2023
19986772-7,,Circular 19 de 2023
19986772-4,,Circular 19 de 2023
19986772-5,,Circular 19 de 2023
19986772-1,,Circular 19 de 2023
19986772-8,,Circular 19 de 2023
19986772-2,,Circular 19 de 2023
19986772-9,,Circular 19 de 2023
19984725-7,,Circular 19 de 2023
19984725-2,,Circular 19 de 2023
19984725-3,,Circular 19 de 2023
19984725-8,,Circular 19 de 2023
19984725-4,,Circular 19 de 2023
19984725-9,,Circular 19 de 2023
19984725-5,,Circular 19 de 2023
19984725-1,,Circular 19 de 2023
19984725-6,,Circular 19 de 2023
19984723-2,,Circular 19 de 2023
19984723-3,,Circular 19 de 2023
19984723-4,,Circular 19 de 2023
19984723-5,,Circular 19 de 2023
19984723-1,,Circular 19 de 2023
19984723-6,,Circular 19 de 2023
19984722-7,,Circular 19 de 2023
19984722-2,,Circular 19 de 2023
19984722-3,,Circular 19 de 2023
19984722-8,,Circular 19 de 2023
19984722-4,,Circular 19 de 2023
19984722-9,,Circular 19 de 2023
19984722-5,,Circular 19 de 2023
19984722-1,,Circular 19 de 2023
19984722-6,,Circular 19 de 2023
20014926-18,,Circular 19 de 2023
20014926-3,,Circular 19 de 2023
20014926-14,,Circular 19 de 2023
20014926-4,,Circular 19 de 2023
20014926-12,,Circular 19 de 2023
20014926-19,,Circular 19 de 2023
20014926-5,,Circular 19 de 2023
20014926-15,,Circular 19 de 2023
20014926-6,,Circular 19 de 2023
20014926-16,,Circular 19 de 2023
20014926-7,,Circular 19 de 2023
20014926-20,,Circular 19 de 2023
20014926-8,,Circular 19 de 2023
20014926-1,,Circular 19 de 2023
20014926-11,,Circular 19 de 2023
20014926-17,,Circular 19 de 2023
20014926-9,,Circular 19 de 2023
20014926-10,,Circular 19 de 2023
20014926-21,,Circular 19 de 2023
20014926-13,,Circular 19 de 2023
20014926-2,,Circular 19 de 2023
20014921-18,,Circular 19 de 2023
20014921-3,,Circular 19 de 2023
20014921-14,,Circular 19 de 2023
20014921-4,,Circular 19 de 2023
20014921-12,,Circular 19 de 2023
20014921-19,,Circular 19 de 2023
20014921-5,,Circular 19 de 2023
20014921-15,,Circular 19 de 2023
20014921-6,,Circular 19 de 2023
20014921-16,,Circular 19 de 2023
20014921-7,,Circular 19 de 2023
20014921-20,,Circular 19 de 2023
20014921-8,,Circular 19 de 2023
20014921-1,,Circular 19 de 2023
20014921-11,,Circular 19 de 2023
20014921-17,,Circular 19 de 2023
20014921-9,,Circular 19 de 2023
20014921-10,,Circular 19 de 2023
20014921-21,,Circular 19 de 2023
20014921-13,,Circular 19 de 2023
20014921-2,,Circular 19 de 2023
20035341-3,,Circular 19 de 2023
20035341-2,,Circular 19 de 2023
20035341-1,,Circular 19 de 2023
20035342-1,,Circular 19 de 2023
20035342-3,,Circular 19 de 2023
20035342-2,,Circular 19 de 2023
20035343-3,,Circular 19 de 2023
20035343-2,,Circular 19 de 2023
20035343-1,,Circular 19 de 2023
20119516-2,,Circular 19 de 2023
20119516-5,,Circular 19 de 2023
20119516-3,,Circular 19 de 2023
20119516-6,,Circular 19 de 2023
20119516-1,,Circular 19 de 2023
20119516-4,,Circular 19 de 2023
20094480-1,,Circular 19 de 2023
20094480-11,,Circular 19 de 2023
20094480-3,,Circular 19 de 2023
20094480-6,,Circular 19 de 2023
20094480-9,,Circular 19 de 2023
20094480-12,,Circular 19 de 2023
20094480-13,,Circular 19 de 2023
20094480-2,,Circular 19 de 2023
20094480-4,,Circular 19 de 2023
20094480-7,,Circular 19 de 2023
20094480-10,,Circular 19 de 2023
20094480-5,,Circular 19 de 2023
20094480-8,,Circular 19 de 2023
20173597-2,,Circular 19 de 2023
20173597-4,,Circular 19 de 2023
20173597-1,,Circular 19 de 2023
20173597-3,,Circular 19 de 2023
20173597-5,,Circular 19 de 2023
20173114-1,,Circular 19 de 2023
20173114-4,,Circular 19 de 2023
20173114-2,,Circular 19 de 2023
20173114-3,,Circular 19 de 2023
20173114-5,,Circular 19 de 2023
20173116-1,,Circular 19 de 2023
20173116-4,,Circular 19 de 2023
20173116-2,,Circular 19 de 2023
20173116-5,,Circular 19 de 2023
20173116-3,,Circular 19 de 2023
20173595-2,,Circular 19 de 2023
20173595-4,,Circular 19 de 2023
20173595-3,,Circular 19 de 2023
20173595-5,,Circular 19 de 2023
20173595-1,,Circular 19 de 2023
20173598-2,,Circular 19 de 2023
20173598-4,,Circular 19 de 2023
20173598-1,,Circular 19 de 2023
20173598-5,,Circular 19 de 2023
20173598-3,,Circular 19 de 2023
20087852-1,,Circular 19 de 2023
20087873-1,,Circular 19 de 2023
20152906-1,,Circular 19 de 2023
20152906-2,,Circular 19 de 2023
20152906-3,,Circular 19 de 2023
20152906-4,,Circular 19 de 2023
20106677-1,,Circular 19 de 2023
225005-3,,Circular 19 de 2023
20012585-1,,Circular 19 de 2023
61142-2,,Circular 19 de 2023
61142-1,,Circular 19 de 2023
20156169-1,,Circular 19 de 2023
20057167-3,,Circular 19 de 2023
20057167-6,,Circular 19 de 2023
20057167-1,,Circular 19 de 2023
20057167-4,,Circular 19 de 2023
20057167-2,,Circular 19 de 2023
20057167-5,,Circular 19 de 2023
20057160-3,,Circular 19 de 2023
20057160-6,,Circular 19 de 2023
20057160-1,,Circular 19 de 2023
20057160-4,,Circular 19 de 2023
20057160-2,,Circular 19 de 2023
20057160-5,,Circular 19 de 2023
20057161-3,,Circular 19 de 2023
20057161-6,,Circular 19 de 2023
20057161-1,,Circular 19 de 2023
20057161-4,,Circular 19 de 2023
20057161-2,,Circular 19 de 2023
20057161-5,,Circular 19 de 2023
20025153-3,,Circular 19 de 2023
20074087-1,,Circular 19 de 2023
20074087-2,,Circular 19 de 2023
20023907-11,,Circular 19 de 2023
20023907-4,,Circular 19 de 2023
20023907-12,,Circular 19 de 2023
20023907-5,,Circular 19 de 2023
20074086-1,,Circular 19 de 2023
20074086-2,,Circular 19 de 2023
20023907-1,,Circular 19 de 2023
20023907-7,,Circular 19 de 2023
20023907-8,,Circular 19 de 2023
20023907-13,,Circular 19 de 2023
20023907-6,,Circular 19 de 2023
20023907-2,,Circular 19 de 2023
20023907-9,,Circular 19 de 2023
20023907-10,,Circular 19 de 2023
20023907-3,,Circular 19 de 2023
20025152-3,,Circular 19 de 2023
20025152-1,,Circular 19 de 2023
20025152-2,,Circular 19 de 2023
20023950-3,,Circular 19 de 2023
20023950-1,,Circular 19 de 2023
20023950-2,,Circular 19 de 2023
20025153-1,,Circular 19 de 2023
20025153-2,,Circular 19 de 2023
20076987-3,,Circular 19 de 2023
20076987-1,,Circular 19 de 2023
20076987-2,,Circular 19 de 2023
20075967-4,,Circular 19 de 2023
20075967-5,,Circular 19 de 2023
20075967-1,,Circular 19 de 2023
20075967-2,,Circular 19 de 2023
20075967-3,,Circular 19 de 2023
20064171-3,,Circular 19 de 2023
20064171-6,,Circular 19 de 2023
20064171-1,,Circular 19 de 2023
20064171-4,,Circular 19 de 2023
20064171-2,,Circular 19 de 2023
20064171-5,,Circular 19 de 2023
19946307-1,,Circular 19 de 2023
19946307-2,,Circular 19 de 2023
19946308-1,,Circular 19 de 2023
19946308-2,,Circular 19 de 2023
19993218-1,,Circular 19 de 2023
19993218-2,,Circular 19 de 2023
20016512-3,,Circular 19 de 2023
20016512-1,,Circular 19 de 2023
20016512-2,,Circular 19 de 2023
20099322-3,,Circular 19 de 2023
20099322-1,,Circular 19 de 2023
20099322-2,,Circular 19 de 2023
20019310-3,,Circular 19 de 2023
20019310-1,,Circular 19 de 2023
20019310-2,,Circular 19 de 2023
20143065-1,,Circular 19 de 2023
20143065-2,,Circular 19 de 2023
20016911-3,,Circular 19 de 2023
20016911-4,,Circular 19 de 2023
20016911-1,,Circular 19 de 2023
20016911-5,,Circular 19 de 2023
20016911-2,,Circular 19 de 2023
20016911-6,,Circular 19 de 2023
20016911-7,,Circular 19 de 2023
20021225-31,,Circular 19 de 2023
20021225-30,,Circular 19 de 2023
20021225-32,,Circular 19 de 2023
20021225-2,,Circular 19 de 2023
20021225-35,,Circular 19 de 2023
20021225-33,,Circular 19 de 2023
20021225-10,,Circular 19 de 2023
20021225-34,,Circular 19 de 2023
20041332-2,,Circular 19 de 2023
20041332-1,,Circular 19 de 2023
20041334-2,,Circular 19 de 2023
20041334-1,,Circular 19 de 2023
20109070-1,,Circular 19 de 2023
20109070-3,,Circular 19 de 2023
20109070-5,,Circular 19 de 2023
20109070-2,,Circular 19 de 2023
20109070-4,,Circular 19 de 2023
20109070-6,,Circular 19 de 2023
20109076-1,,Circular 19 de 2023
